location,date,new_cases,new_deaths
World,2020-01-03,0,0
World,2020-01-04,3,0
World,2020-01-05,0,3
World,2020-01-06,3,0
World,2020-01-07,0,0
World,2020-01-08,1,0
World,2020-01-09,0,0
World,2020-01-10,0,0
World,2020-01-11,0,0
World,2020-01-12,41,1
World,2020-01-13,1,0
World,2020-01-14,5,0
World,2020-01-15,0,0
World,2020-01-16,0,0
World,2020-01-17,4,1
World,2020-01-18,4,0
World,2020-01-19,79,1
World,2020-01-20,78,1
World,2020-01-21,93,2
World,2020-01-22,148,11
World,2020-01-23,133,1
World,2020-01-24,271,8
World,2020-01-25,473,16
World,2020-01-26,705,17
World,2020-01-27,790,26
World,2020-01-28,1779,49
World,2020-01-29,1477,2
World,2020-01-30,1754,38
World,2020-01-31,2015,42
World,2020-02-01,2113,47
World,2020-02-02,2621,106
World,2020-02-03,2836,64
World,2020-02-04,3253,67
World,2020-02-05,3936,72
World,2020-02-06,3716,70
World,2020-02-07,3159,85
World,2020-02-08,3397,87
World,2020-02-09,2699,100
World,2020-02-10,2993,107
World,2020-02-11,2482,100
World,2020-02-12,2034,5
World,2020-02-13,15168,253
World,2020-02-14,4068,152
World,2020-02-15,2662,142
World,2020-02-16,2045,105
World,2020-02-17,2062,98
World,2020-02-18,1908,139
World,2020-02-19,1799,113
World,2020-02-20,422,123
World,2020-02-21,996,2
World,2020-02-22,1067,209
World,2020-02-23,991,6
World,2020-02-24,516,159
World,2020-02-25,786,79
World,2020-02-26,855,62
World,2020-02-27,1093,38
World,2020-02-28,1201,57
World,2020-02-29,1816,64
World,2020-03-01,2005,56
World,2020-03-02,1942,67
World,2020-03-03,1798,68
World,2020-03-04,2216,87
World,2020-03-05,2162,87
World,2020-03-06,2487,100
World,2020-03-07,3257,102
World,2020-03-08,6354,138
World,2020-03-09,3272,222
World,2020-03-10,3859,174
World,2020-03-11,3928,269
World,2020-03-12,6009,305
World,2020-03-13,6748,320
World,2020-03-14,7319,400
World,2020-03-15,29311,964
World,2020-03-16,8565,564
World,2020-03-17,10355,587
World,2020-03-18,11532,638
World,2020-03-19,14178,792
World,2020-03-20,17041,823
World,2020-03-21,20499,1062
World,2020-03-22,89151,5231
World,2020-03-23,22462,1193
World,2020-03-24,26550,1237
World,2020-03-25,30018,1494
World,2020-03-26,31298,1599
World,2020-03-27,38012,1830
World,2020-03-28,44667,2259
World,2020-03-29,158475,12671
World,2020-03-30,43212,2421
World,2020-03-31,49031,2901
World,2020-04-01,43914,3026
World,2020-04-02,52044,3421
World,2020-04-03,58927,3795
World,2020-04-04,60801,4131
World,2020-04-05,158466,17151
World,2020-04-06,59795,4401
World,2020-04-07,54684,4878
World,2020-04-08,60420,4726
World,2020-04-09,63611,5291
World,2020-04-10,69661,5704
World,2020-04-11,72726,5609
World,2020-04-12,143462,17072
World,2020-04-13,64321,5502
World,2020-04-14,57675,5210
World,2020-04-15,57173,5377
World,2020-04-16,62512,5867
World,2020-04-17,67069,6215
World,2020-04-18,74007,7316
World,2020-04-19,124278,14470
World,2020-04-20,66401,5088
World,2020-04-21,64646,5182
World,2020-04-22,65295,5467
World,2020-04-23,66923,5910
World,2020-04-24,72519,5584
World,2020-04-25,89177,5489
World,2020-04-26,115307,11690
World,2020-04-27,76030,4954
World,2020-04-28,65252,4637
World,2020-04-29,65120,4933
World,2020-04-30,70681,5456
World,2020-05-01,75994,5724
World,2020-05-02,83789,5599
World,2020-05-03,108772,9830
World,2020-05-04,77609,4796
World,2020-05-05,76405,4450
World,2020-05-06,72623,4425
World,2020-05-07,77568,6041
World,2020-05-08,84881,5793
World,2020-05-09,89000,5552
World,2020-05-10,107388,7867
World,2020-05-11,85739,5168
World,2020-05-12,70364,4191
World,2020-05-13,76058,4132
World,2020-05-14,82949,5101
World,2020-05-15,83904,4925
World,2020-05-16,98861,5501
World,2020-05-17,112785,7147
World,2020-05-18,93744,4690
World,2020-05-19,76654,3931
World,2020-05-20,91735,4306
World,2020-05-21,100310,5095
World,2020-05-22,105440,5004
World,2020-05-23,103921,4931
World,2020-05-24,124883,6791
World,2020-05-25,95485,4225
World,2020-05-26,91133,4056
World,2020-05-27,87163,4146
World,2020-05-28,96524,4598
World,2020-05-29,105582,5082
World,2020-05-30,117950,5293
World,2020-05-31,135166,5968
World,2020-06-01,125118,4635
World,2020-06-02,107230,4152
World,2020-06-03,96853,4231
World,2020-06-04,121665,5240
World,2020-06-05,124158,5435
World,2020-06-06,124712,5468
World,2020-06-07,144927,5721
World,2020-06-08,123431,5001
World,2020-06-09,107888,4039
World,2020-06-10,106621,4521
World,2020-06-11,129160,5325
World,2020-06-12,138320,5475
World,2020-06-13,139352,5448
World,2020-06-14,157878,5467
World,2020-06-15,130437,4717
World,2020-06-16,116876,4395
World,2020-06-17,120969,6017
World,2020-06-18,179805,5510
World,2020-06-19,144831,5592
World,2020-06-20,140448,5517
World,2020-06-21,198046,5701
World,2020-06-22,152524,5050
World,2020-06-23,128230,4080
World,2020-06-24,138471,4271
World,2020-06-25,170341,5529
World,2020-06-26,176706,5333
World,2020-06-27,182628,7015
World,2020-06-28,209218,5451
World,2020-06-29,175673,4970
World,2020-06-30,155886,4367
World,2020-07-01,166991,4853
World,2020-07-02,181239,5262
World,2020-07-03,208313,5325
World,2020-07-04,210937,5529
World,2020-07-05,229608,6062
World,2020-07-06,188473,5217
World,2020-07-07,164436,4689
World,2020-07-08,173196,5034
World,2020-07-09,211012,5856
World,2020-07-10,222028,5906
World,2020-07-11,219118,5955
World,2020-07-12,250787,6138
World,2020-07-13,215682,5817
World,2020-07-14,190734,5145
World,2020-07-15,188894,5307
World,2020-07-16,227490,6165
World,2020-07-17,239929,6491
World,2020-07-18,241945,7200
World,2020-07-19,269481,6434
World,2020-07-20,226275,5982
World,2020-07-21,201103,5516
World,2020-07-22,205023,5568
World,2020-07-23,243585,7584
World,2020-07-24,285487,6491
World,2020-07-25,277336,6715
World,2020-07-26,304062,6928
World,2020-07-27,247805,6266
World,2020-07-28,211265,5536
World,2020-07-29,223117,5975
World,2020-07-30,254596,6319
World,2020-07-31,294027,7173
World,2020-08-01,283610,6603
World,2020-08-02,324816,6953
World,2020-08-03,249090,6574
World,2020-08-04,218152,5767
World,2020-08-05,212378,5850
World,2020-08-06,263365,6823
World,2020-08-07,282103,7075
World,2020-08-08,272733,6629
World,2020-08-09,340843,6971
World,2020-08-10,253611,6465
World,2020-08-11,212387,5582
World,2020-08-12,220947,5534
World,2020-08-13,280328,6767
World,2020-08-14,279122,6834
World,2020-08-15,284319,6593
World,2020-08-16,354562,6913
World,2020-08-17,241503,5832
World,2020-08-18,210858,5422
World,2020-08-19,220377,5587
World,2020-08-20,264548,6458
World,2020-08-21,271815,6729
World,2020-08-22,262878,6134
World,2020-08-23,351543,6549
World,2020-08-24,245335,5881
World,2020-08-25,210779,5177
World,2020-08-26,217765,5335
World,2020-08-27,267296,6377
World,2020-08-28,271945,6324
World,2020-08-29,267797,5762
World,2020-08-30,394311,6621
World,2020-08-31,256806,5732
World,2020-09-01,209702,4750
World,2020-09-02,254603,5054
World,2020-09-03,266184,6150
World,2020-09-04,277933,6154
World,2020-09-05,277331,5646
World,2020-09-06,442487,6514
World,2020-09-07,255752,9109
World,2020-09-08,214489,6550
World,2020-09-09,221333,4611
World,2020-09-10,246532,4936
World,2020-09-11,276385,5828
World,2020-09-12,282994,5628
World,2020-09-13,467168,6580
World,2020-09-14,264305,5217
World,2020-09-15,229044,4963
World,2020-09-16,244988,4725
World,2020-09-17,278138,5719
World,2020-09-18,291868,5944
World,2020-09-19,286455,5354
World,2020-09-20,501225,7120
World,2020-09-21,264966,4994
World,2020-09-22,225810,4457
World,2020-09-23,251956,4705
World,2020-09-24,291392,5344
World,2020-09-25,286648,5551
World,2020-09-26,287048,5504
World,2020-09-27,496210,7163
World,2020-09-28,263455,5073
World,2020-09-29,223943,4361
World,2020-09-30,253914,4603
World,2020-10-01,290648,5592
World,2020-10-02,298074,5617
World,2020-10-03,294226,5035
World,2020-10-04,508864,7290
World,2020-10-05,272990,4842
World,2020-10-06,229826,4510
World,2020-10-07,272214,4598
World,2020-10-08,321284,5447
World,2020-10-09,314155,5820
World,2020-10-10,320292,5223
World,2020-10-11,634407,7686
World,2020-10-12,284853,4630
World,2020-10-13,253372,4466
World,2020-10-14,292416,4420
World,2020-10-15,314331,4738
World,2020-10-16,339262,5400
World,2020-10-17,341055,5394
World,2020-10-18,772988,9039
World,2020-10-19,303602,4825
World,2020-10-20,273646,4755
World,2020-10-21,342748,5056
World,2020-10-22,370960,5643
World,2020-10-23,386177,6070
World,2020-10-24,391438,5655
World,2020-10-25,1022327,11011
World,2020-10-26,352062,5408
World,2020-10-27,303886,4976
World,2020-10-28,385703,5494
World,2020-10-29,417566,6073
World,2020-10-30,428565,6324
World,2020-10-31,437288,6280
World,2020-11-01,1201571,14944
World,2020-11-02,379755,5957
World,2020-11-03,406854,5607
World,2020-11-04,413841,6186
World,2020-11-05,447985,7059
World,2020-11-06,482046,7560
World,2020-11-07,490071,7727
World,2020-11-08,1237036,18955
World,2020-11-09,441144,6414
World,2020-11-10,396109,6410
World,2020-11-11,465237,7146
World,2020-11-12,512688,8030
World,2020-11-13,544376,7912
World,2020-11-14,537667,8189
World,2020-11-15,1152026,21321
World,2020-11-16,478311,8040
World,2020-11-17,420223,6774
World,2020-11-18,473088,7294
World,2020-11-19,537935,8929
World,2020-11-20,544446,9144
World,2020-11-21,552686,9354
World,2020-11-22,1104124,24000
World,2020-11-23,483704,8137
World,2020-11-24,427121,8108
World,2020-11-25,482387,8679
World,2020-11-26,527382,9242
World,2020-11-27,584229,9890
World,2020-11-28,517656,9051
World,2020-11-29,999668,23070
World,2020-11-30,473528,7932
World,2020-12-01,433234,8005
World,2020-12-02,482754,8728
World,2020-12-03,570490,9883
World,2020-12-04,594949,10508
World,2020-12-05,597515,10362
World,2020-12-06,1048369,24027
World,2020-12-07,517256,8689
World,2020-12-08,464364,7776
World,2020-12-09,514337,9206
World,2020-12-10,602047,9750
World,2020-12-11,599950,11166
World,2020-12-12,585146,10090
World,2020-12-13,1111378,25785
World,2020-12-14,525405,9005
World,2020-12-15,465706,8503
World,2020-12-16,544985,9461
World,2020-12-17,574334,10435
World,2020-12-18,642017,11013
World,2020-12-19,643255,11384
World,2020-12-20,1146730,25889
World,2020-12-21,519603,9556
World,2020-12-22,477290,8667
World,2020-12-23,526372,9633
World,2020-12-24,592464,10865
World,2020-12-25,586721,10821
World,2020-12-26,544276,10055
World,2020-12-27,871395,22194
World,2020-12-28,406937,8180
World,2020-12-29,445619,8946
World,2020-12-30,513535,10137
World,2020-12-31,652693,11956
World,2021-01-01,660926,12356
World,2021-01-02,590642,11269
World,2021-01-03,976289,23455
World,2021-01-04,517835,9154
World,2021-01-05,522454,8868
World,2021-01-06,570413,10328
World,2021-01-07,685110,12299
World,2021-01-08,694622,12470
World,2021-01-09,718703,13281
World,2021-01-10,1298481,25951
World,2021-01-11,608938,11404
World,2021-01-12,541425,10675
World,2021-01-13,564747,11819
World,2021-01-14,628230,13339
World,2021-01-15,622939,13739
World,2021-01-16,616478,13264
World,2021-01-17,1270562,26732
World,2021-01-18,531603,12058
World,2021-01-19,469250,11226
World,2021-01-20,472476,11744
World,2021-01-21,516822,12966
World,2021-01-22,554020,14171
World,2021-01-23,527799,13615
World,2021-01-24,1155154,27939
World,2021-01-25,453015,11738
World,2021-01-26,380414,11062
World,2021-01-27,422120,11502
World,2021-01-28,476347,13727
World,2021-01-29,493955,13548
World,2021-01-30,474683,13186
World,2021-01-31,1035397,25898
World,2021-02-01,397582,10923
World,2021-02-02,331042,9864
World,2021-02-03,373995,10628
World,2021-02-04,414771,11821
World,2021-02-05,401918,11790
World,2021-02-06,411555,11016
World,2021-02-07,834616,23250
World,2021-02-08,340450,9765
World,2021-02-09,294121,8455
World,2021-02-10,309030,9318
World,2021-02-11,354306,10576
World,2021-02-12,373129,10679
World,2021-02-13,366878,10864
World,2021-02-14,682900,21839
World,2021-02-15,291319,9419
World,2021-02-16,257524,7762
World,2021-02-17,289218,7692
World,2021-02-18,319313,8198
World,2021-02-19,332788,9140
World,2021-02-20,331915,9297
World,2021-02-21,652187,16928
World,2021-02-22,301699,7761
World,2021-02-23,266472,7149
World,2021-02-24,297546,7573
World,2021-02-25,362244,8310
World,2021-02-26,370333,8729
World,2021-02-27,367351,9434
World,2021-02-28,695831,15051
World,2021-03-01,313764,7512
World,2021-03-02,269866,6580
World,2021-03-03,311715,7182
